file,author/attribution, link
adorable-puppy.jpg,Photo by mentatdgt from Pexels,https://www.pexels.com/photo/white-brown-and-black-shih-tzu-puppy-936317/
math.aswm,Github: Hanks10100,https://github.com/Hanks10100/wasm-examples
